Year,Country Name,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (constant 2015 US$),GDP (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),"Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Official exchange rate (LCU per US$, period average)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)"
1999,"Congo, Dem. Rep.",,11.292207935422686,256000.0,,,,,52.36616492686649,2.3000024294402692,5558782483.122414,2467105881.818182,438.0139683907637,73.97778,7.798111,18.22416,70.304,17755104906.916622,4711259427.272727,18.71444886392152,5.916667156216775,4838177058.897268,881686236.3636364,3383.902106718769,72.446,18457645.0,,,5.014597360983211,16.600006725407425,6110698943.298939,236250690.9090909,809000000.0,1095447505.0,568000000.0,634626085.5,4.0183333322314,,,28.294471856306586,-9.717613843783923,6537924785.523413,1333025972.7272727,2023.594341647089
2000,"Congo, Dem. Rep.",,11.292207935422686,256000.0,,,,,31.972358265241464,-11.6998199279778,4908414942.409119,6102898550.724638,374.7081813380091,74.05415,7.479929,18.46594,70.29,16528062511.827559,19088046305.7971,22.40570630271374,10.611933584963225,5351601195.1103735,4276811594.2028985,3714.2848762954222,72.435,18972844.0,,,9.90831810404657,-10.900000723232338,5444632714.284803,1891304347.826087,807000000.0,11242518000.0,683000000.0,3465151000.0,21.8183333273501,,,44.5134186173392,-16.85761674716504,5435786481.961964,8496741957.971014,1651.3287370626567
2001,"Congo, Dem. Rep.",,11.270152841798813,255500.0,,,,,32.87090402004475,-1.5068165510643325,4834454133.661983,2445000000.0,359.31106224022926,75.3428,7.389514,17.26765,70.341,16180944601.417454,7438189100.333333,30.01626654754734,-8.06868660080886,4919797266.551776,2232666666.6666665,3306.1967680512394,72.463,19559968.0,,,19.80768858467591,-14.13703382480486,4674923145.82997,1473333333.3333333,880000000.0,10369144000.0,790000000.0,3635210000.0,206.61749994334,,,34.545000120412595,-0.16155532076290058,5427004679.675043,2569522433.6666665,1603.3592071670232
2002,"Congo, Dem. Rep.",,11.270152841798813,255500.0,,,,,26.58377932049918,-3.6344503804435817,4658748297.008735,2320242500.531458,337.8211304004355,74.68888,7.502995,17.80815,70.384,16657920852.755264,8728038525.140335,32.61833688380493,5.0771671714986155,5169583598.273429,2846941009.478554,3382.0913596039136,72.483,20178951.0,,,21.216790556639076,4.309764309764304,4876401315.077861,1851809653.581795,1132000000.0,13160786000.0,1081000000.0,5039532000.0,346.484999904984,,,38.0515982890655,4.956742346357856,5696007318.771318,3321158158.101278,1614.4154983981653
2003,"Congo, Dem. Rep.",,11.270152841798813,255500.0,,,,,26.05383880660671,0.6635867282654289,4689663132.410976,2328579315.0128736,331.745048540263,73.79338,7.617797,18.58881,70.414,17587070078.70297,8937567059.877542,28.85793840697879,2.422786547700767,5294831574.264543,2579197597.2218866,3370.9898011719274,72.497,20775195.0,,,18.29840585675874,-4.465246395523991,4658657981.125062,1635432294.3363721,1378000000.0,9446057000.0,1495000000.0,6551356000.0,405.17818323067,,,41.988809547026854,11.069152232785726,6326507040.076733,3752778010.9097886,1706.0212568300624
2004,"Congo, Dem. Rep.",,11.270152841798813,255500.0,,,,,23.87935949082438,1.610480640854476,4765189249.279745,2458973098.9895005,329.13426088712436,72.92935,7.940669,19.12998,70.434,18772152624.507458,10297483481.223013,31.782423494150258,5.749514172753464,5599258666.050308,3272789809.2424645,3427.612631348534,72.506,21399275.0,,,17.641505835784642,4.313548823065673,4859611467.640537,1816631149.2789173,1917000000.0,9860722000.0,2051000000.0,7991866000.0,399.475791666667,,,40.17397566230398,9.395691720945194,6920926138.266236,4136908507.5763054,1771.0700759635215
2005,"Congo, Dem. Rep.",,11.270152841798813,255500.0,,,,,21.57938224694073,0.4816457255481623,4788140579.613182,2581861834.9647727,322.444044373271,71.87049,8.212112,19.91741,70.443,19923852563.16022,11964484457.52333,31.792210494941415,14.228439262404152,6395945784.494178,3803774083.370367,3770.480882424059,72.51,22085661.0,,,16.40353329282821,0.42010364931979893,4880026872.758859,1962598191.3050966,2403000000.0,11058427000.0,2690000000.0,9579335000.0,473.908008333333,343200000.0,1169200000.0,43.404863965404274,3.743021926554647,7179977921.142193,5193168202.94994,1744.491675902712
2006,"Congo, Dem. Rep.",,11.286032509208002,255860.0,,,,,21.210060648818708,5.63778793934118,5058085791.729315,3065257114.7115183,337.86668690922755,70.92854,7.977746,21.0937,69.421,20983996686.704327,14451901696.38783,29.734536145784592,2.5976360214108354,6562089176.102106,4297205933.665696,3782.4500510251964,71.632,22533506.0,,,15.472596613507225,-4.789957950351095,4646275637.587875,2236084452.462697,2705000000.0,8358638999.999999,2892000000.0,10992137000.0,468.278825,432900000.0,905800000.0,44.515349823373704,6.278777969382588,7630792793.061402,6433314596.2771225,1795.8211908835929
2007,"Congo, Dem. Rep.",,11.314263029046558,256500.0,,,,,21.602205301421428,2.7634574835576586,5197863842.065625,3615576615.220751,344.7215656524869,69.80723,7.901708,22.29101,68.392,22297485293.385555,16737071816.379993,30.2069711450062,4.47189657549616,6855539017.24922,5055762454.09287,3838.615484483226,70.738,22982377.0,,,17.00603069253631,7.154952401484451,4978714447.899056,2846311570.125426,3100000000.0,10496045000.0,3400000000.0,13762138000.0,516.749891666667,392400000.0,1617600000.0,43.56057550504613,11.708720401741843,8524260985.637229,7290764805.908004,1939.6730424535874
2008,"Congo, Dem. Rep.",,11.33631812267043,257000.0,,,,,22.618679764601506,2.772520637129361,5341975689.77678,4475900968.993553,351.5024046529724,68.80839,7.990541,23.20107,67.347,23685703152.328873,19788515579.0498,33.22345539596906,4.453670600845044,7160862142.98991,6574428646.929999,3913.9496964394225,69.827,23412171.0,,,14.917031951977053,1.582056665612825,5057480531.683872,2951859191.7488155,4400000000.0,12997125000.0,4300000000.0,17806322000.0,559.292508333333,828200000.0,2099600000.0,38.726705251685175,9.609404497724029,9343391704.188787,7663440101.982418,2054.3749302960146
2009,"Congo, Dem. Rep.",,11.859906045301162,268870.0,,,,,23.67466669588874,2.781430803905536,5490559047.149377,4414940044.18864,358.6571405716786,67.98533,7.843554,24.1711,66.277,24361945138.57365,18648372544.798374,33.01591566120942,1.5697900329037822,7273272643.180546,6156930951.578763,3876.641571914803,68.9,23828069.0,,,18.875681978083755,-9.872508382819817,4558180342.233902,3520007495.644426,3500000000.0,7983384000.0,3900000000.0,16866233000.0,809.785833333333,649900000.0,1817100000.0,38.35326827782006,3.9926443216314453,9716440102.513865,7152260351.55386,2087.5779044862447
2010,"Congo, Dem. Rep.",,12.540085132661389,284290.0,,,,,21.428491122437176,3.6144240552732327,5689011134.118525,4621208617.76578,369.5596309967594,66.23255,8.145866,25.62159,65.228,26093586492.436104,21565721036.35912,38.68914996354506,28.66857556873842,9358416307.21114,8343594152.476765,4864.8005379819,67.958,24281009.0,,,16.221648548958086,-3.315300703219364,4407062957.293815,3498315473.566898,5300000000.0,11674079000.0,4500000000.0,17363438000.0,905.913458333333,388600000.0,2662700000.0,35.377421811581264,-4.5503855188477615,9274304619.141558,7629396097.741679,1923.5607218870332
2011,"Congo, Dem. Rep.",,13.072495092741669,296360.0,,,,,20.91707601311392,3.57195829166173,5892220239.03723,5404919981.515866,381.596085063743,64.45222,8.316165,27.23159,64.151,27887434687.192833,25839749198.823307,40.94273751884117,15.657970806673035,10823754400.56119,10579500690.001091,5486.863879129294,67.001,24782462.0,,,15.358892497286345,1.7854000059021047,4485746659.593448,3968699301.0156813,6600000000.0,14823637000.0,5500000000.0,23348633000.0,919.4913,739400000.0,2889302281.098,33.11420829313765,1.0330079250754807,9370108920.852932,8556628372.122716,1882.4669993989398
2012,"Congo, Dem. Rep.",,13.62387243333848,308860.0,,,,,20.44106070560802,3.453097132811635,6095684327.170371,5990505347.248172,393.8787013284576,62.64161,8.455621,28.90277,63.065,29863789002.306564,29306235295.33706,40.25475637856694,8.957015369144457,11793239745.737906,11797153621.867529,5812.193922759469,66.03,25253938.0,,,15.361348680925865,5.221413631006769,4719966047.12989,4501832988.96929,6300000000.0,9068868000.0,6100000000.0,23776710000.0,919.755016666667,287691990.852203,2331577345.85986,33.18206259668038,6.611615689565696,9989624512.39344,9724413340.429182,1943.2929391223508
2013,"Congo, Dem. Rep.",,13.863831851966212,314300.0,,,,,19.316667627013,4.245800003365034,6354494892.538492,6312637730.010759,401.9556438569129,61.16999,8.792601,30.03741,63.091,32396822635.37489,32679745036.265877,41.28634596346761,10.450986917943041,13025749688.766632,13492272595.651861,6094.871476883386,66.042,26115207.0,,,15.38523318839815,10.053627649814459,5194493858.705996,5027854979.203475,6200000000.0,15485875000.0,6300000000.0,24981209000.0,919.565907354881,296088831.510513,2595290020.34427,32.33237872508912,7.831399943980827,10771951960.860916,10566138931.518997,1981.4334327395936
2014,"Congo, Dem. Rep.",,14.225094285525241,322490.0,,,,,18.562517313629822,4.739781330301,6655684055.089962,6665621942.367078,412.3441944504909,59.66501,9.147408,31.18758,63.104,35464895073.264626,35909040943.88501,42.97984785667231,14.626014516478719,14930897729.12582,15433651164.471941,6616.795002252236,66.042,27011671.0,,,15.554413473691714,9.935568548939557,5710596356.808185,5585440702.849125,7915000000.0,16962100999.999998,7087000000.0,21975235000.0,925.226282531997,314797429.566933,3082202560.30777,31.701462471641413,6.838013708579666,11508539512.626202,11383691138.752056,1997.286953693129
2015,"Congo, Dem. Rep.",,14.31375576189321,324500.0,,,0.611837619359577,1.5092705871864696,18.3703885046967,4.656860749668468,6965629993.473389,6965629993.473389,421.5481797348157,58.34261,9.332404,32.325,63.087,37917706485.58961,37917706485.58961,41.70486389885408,5.911433928949478,15813527883.382113,15813527883.382113,6649.798333912391,66.03,27914047.0,28.00271718065424,74.62626910732054,17.128657296139853,13.732324833810594,6494793998.472838,6494793998.472838,8685000000.0,9979310000.0,8068000000.0,20709520000.0,925.984961280393,173348834.723719,2191642101.44029,33.10437481278019,9.07048337130864,12552419675.399446,12552419675.399446,2064.5411792423984
2016,"Congo, Dem. Rep.",,14.411680377583203,326720.0,,,0.7658801453045222,1.892036961470149,18.59975364024441,3.260058031136353,7192713573.494861,6906981602.877154,423.3502116716178,58.12725,9.325257,32.5475,63.073,38827503523.270454,37134801548.83596,41.16138162900787,0.49550613480302275,15891884884.173058,15285197382.691095,6417.852404946042,66.03,28894272.0,25.09774447150925,71.39719997138009,18.26439236250317,8.645523090446858,7056302913.287765,6782445857.916305,7193000000.0,11764316000.0,5492000000.0,17260524000.0,1010.30275716866,127808325.862671,2089362992.97164,33.82743725176294,4.50340724038692,13117706251.90514,12561751692.499176,2064.3303880858143
2017,"Congo, Dem. Rep.",,14.678105908559584,332760.0,,,0.525036799776305,1.9036914399186076,19.702697496749213,1.6104244792799705,7308546793.606915,7490820734.921147,418.49492571641633,57.76545,9.427813,32.80672,63.069,40274584254.67864,38019264804.51254,42.191716222881794,7.736463720349946,17121354792.716885,16040980316.345907,6635.3688547673155,66.013,29889916.0,42.371299848678866,75.84529311077794,19.487038082348043,2.4744559540723685,7230908020.862995,7408828611.084106,12296000000.0,7885818000.0,5803000000.0,13085086000.0,1464.41793163743,108135751.211189,1722665695.09906,33.75029293237607,2.967969288017372,13507035744.754019,12831613242.25874,2025.907194285652
2018,"Congo, Dem. Rep.",,14.796321210383537,335440.0,,,0.3736903423618251,1.5465233822792377,18.887343185982093,1.5738056559491156,7423569116.412389,8984371074.08249,414.6345382256458,57.02931,9.67767,33.29303,63.054,42619016576.62208,47568210020.93381,43.2552601071892,12.116511198954342,19195865663.58913,20575752972.888958,7134.170415200908,65.98,30828284.0,53.545010982340436,81.23383978875967,18.21351465804847,-0.846508346975611,7169697780.904262,8663842904.73406,20004000000.0,16023995187.0,7930000000.0,14972692990.0,1622.52350162292,114794702.309874,2801739923.63863,33.11472214874487,1.3157700751482508,13684757279.12307,15752080579.563644,1946.45345536377
2019,"Congo, Dem. Rep.",,14.878366158664344,337300.0,,,0.57109662471632,1.4382758488785161,19.43498870668129,3.143773157494138,7656949289.622187,10062626687.785358,416.8163674690199,56.26814,9.657775,34.07409,63.009,44487659667.23879,51775829868.76686,39.651915840137235,4.107076863890043,19984254621.081814,20530108485.096073,7108.743372714108,65.934,31751451.0,31.05717968162896,81.75474428627854,19.477919452111482,6.112514853188628,7607946622.690769,10084854437.500689,13382000000.0,13183492964.0,8825000000.0,12942679995.0,1647.76012727639,141891753.48402,2260041493.22319,35.85903910982771,5.66283342956271,14459702289.079767,18566315082.078968,1957.1801735963013
2020,"Congo, Dem. Rep.",,14.808672062812905,335720.0,,,0.6078241934504107,1.3190496110521766,20.883418884375317,2.532117265229445,7850832224.574573,10173767213.912806,,55.91112,9.772702,34.31617,61.959,45259708640.09726,48716961864.53779,41.21359588626294,4.218708745153734,20827332118.43518,20078011790.91543,,65.307,32445875.0,24.376353857063144,78.1695128161832,18.991229662584267,-7.207679663064326,7059590201.190297,9251950112.327965,14122000000.0,13788701759.0,6663000000.0,11865260018.0,1851.12216183261,143625534.272499,2691407222.69057,35.70764289494151,0.1284981720837095,14478282742.209982,17395678771.853992,
2021,"Congo, Dem. Rep.",,,,,,0.331989385373557,1.5310710069578333,19.04363012934513,2.351047060390016,8035408984.806585,10540833731.872284,,55.2838,10.02869,34.68751,62.406,48065880280.604294,55350968593.05974,45.34203534747236,7.7776801355937835,22447215391.384857,25097255744.633472,,65.768,33725417.0,24.86742937748872,74.53702947476893,17.72089052348389,4.111822660884769,7349868030.84844,9808684548.06407,23300000000.0,,10200000000.0,,1989.39147122828,168692693.070064,3947851793.3751,33.182839859785155,5.538931436152268,15280224896.43326,18367023269.074993,
2022,"Congo, Dem. Rep.",,,,,,,,17.44049839595218,2.387478814146533,8227252671.94887,10126991701.550028,,,,,62.929,52355494700.27247,58065953573.32467,48.64819110614205,15.656191745928453,25961594474.681633,28248036061.954704,,66.233,35059361.0,,,16.732796479647043,2.4349806154158102,7528835892.658243,9716057835.390755,26200000000.0,,12200000000.0,,,,,31.48239198589685,3.3381745652097123,15790305477.432837,18280551114.30295,
1960,Kenya,,,,,,,,35.347413534539115,,,279691873.88271534,,,,,,6102055383.313209,791265458.8133278,16.889900214766776,,,133643946.42748758,,,,,,8.70858011177271,,,68907986.37754455,112000000.0,109700000.0,196000000.0,249600000.0,7.14286000614286,,,,,,,
1961,Kenya,,44.277330709491515,252000.0,6422.0,18.34857142857143,,,34.07310224393598,,,270185891.6932833,,,,,,5627642855.638025,792959472.1342657,17.138069510435074,,,135897945.5239495,,,,,,9.186091768915547,,,72841984.80056195,117000000.0,114500000.0,193000000.0,243300000.0,7.14286000614286,,,,,,,
1962,Kenya,,44.2861158941561,252050.0,6418.0,18.337142857142858,,,37.57419488349097,,,326185869.2451323,,,,,,6159869229.142284,868111400.0088638,15.428658845888583,,,133937946.30963479,,,,,,8.621472313032216,,,74843983.99804054,126000000.0,121700000.0,195000000.0,252700000.0,7.14286000614286,,,,,,,
1963,Kenya,,44.29490107882067,252100.0,6111.0,17.46,,,38.44981142247077,,,356271857.18486315,,,,,,6700603506.95014,926589348.5673933,13.979002486666914,,,129527948.07742667,,,,,,8.692306018676744,,,80541981.71394117,198000000.0,139800000.0,232000000.0,268300000.0,7.14286000614286,,,,,,,
1964,Kenya,,44.30368626348526,252150.0,5783.0,16.52285714285714,,,36.8320801767525,,2713870130.0157785,367863838.53810155,,,,,,7033252776.180804,998759333.637333,15.472391280844327,,1053625984.6902317,154531952.05432165,,,,,,9.579482506450345,,549792471.159053,95675975.64732836,222000000.0,146400000.0,246000000.0,212500000.0,7.14286000614286,,,,,,,
1965,Kenya,,44.31247144814984,252200.0,5729.0,16.36857142857143,,,32.41863984810321,-10.073191409260076,2440496797.220554,323511870.3170315,,,,,,7174557447.740928,997919319.974061,16.666671343061545,3.596178161001177,1091516252.2502954,166319933.32899144,,,,,,10.521889877073479,4.479289227171449,574419266.0914801,104999971.90971121,228000000.0,141300000.0,282000000.0,246700000.0,7.14286000614286,,,,,,,
1966,Kenya,,44.32125663281442,252250.0,6145.0,17.557142857142857,,,34.70785829431855,23.028789041921442,3002513656.2273245,404179837.98047,,,,,,8231266905.450144,1164519673.1906433,16.280353897528986,8.011248147522878,1178960327.7886083,189587924.0017847,,,,,,10.00240322163943,6.178852949301344,609911787.8557286,116479953.30784586,260000000.0,171900000.0,346000000.0,314800000.0,7.14286000614286,,,,,,,
1967,Kenya,,44.33004181747901,252300.0,6617.0,18.905714285714286,,,33.65742844161745,1.7359226442627431,3054634970.682856,414847833.7040972,,,,,,8507938885.363749,1232559505.9161959,17.4670604270786,5.768173671438987,1246964807.0128214,215291913.69808337,,,,,,10.29077805542935,3.856411069791932,633432493.5585629,126839963.15493232,242000000.0,165300000.0,337000000.0,298900000.0,7.14286000614286,,,,,,,
1968,Kenya,,44.33882700214358,252350.0,4904.0,14.011428571428572,,,31.70570222626831,4.863011700242879,3203182226.706874,429071828.0022668,,,,,,9187101269.36393,1353295457.5179822,17.661176860051313,13.16358069949952,1411110025.6783125,239007904.19129142,,,,,,10.357527104195977,13.193981196079989,717007457.6485403,140167943.81227797,252000000.0,251464000.0,356000000.0,355658000.0,7.14286000614286,,,,,,,
1969,Kenya,,44.34761218680816,252400.0,5998.0,17.137142857142855,,,30.89757127771911,8.834032096996197,3486152372.7394366,450603819.3709528,,,,,,9918323280.713774,1458379415.394027,18.04358260535663,7.480181685208947,1516663619.3772488,263143894.51613835,,,,,,10.912930786214842,10.27223179997732,790660125.7213225,159151936.2023548,271000000.0,271876000.0,361000000.0,361568000.0,7.14286000614286,,,,,,,
1970,Kenya,,44.35639737147275,252450.0,7247.0,20.705714285714286,,,30.169734222749973,-7.873709019799236,3211662878.9231067,483755806.0816474,,,,,,9456581005.375643,1603447357.2420917,17.972269758670066,-5.666614089950556,1430720145.0244637,288175884.4818148,,,,,,10.8546083190724,-4.320276045456325,756501425.7088094,174047930.2311466,305000000.0,303137000.0,442000000.0,443495000.0,7.14286000614286,,,,,,,
1971,Kenya,,44.36518255613733,252500.0,5891.0,16.83142857142857,,,28.16229492710269,16.127274122378907,3729616555.293722,500835799.82255983,,,,,,11553473057.362228,1778391289.2005405,18.287306735522876,26.283044560395965,1806756958.2758052,325219870.0139226,,,,,,11.285700790376925,29.46159762274533,979378831.7614704,200703919.78129977,314000000.0,315831000.0,560000000.0,569490000.0,7.1428599977626,,,,,,,
1972,Kenya,,44.37396774080191,252550.0,6028.0,17.222857142857144,,,32.21093542386394,11.42031750072509,4155550607.4678717,678774328.585297,,,,,,13527086929.855453,2107279157.3833563,18.680574010098326,46.5485019529668,2647775256.284182,393651842.59437424,,,,,,10.354770130215254,32.86829433523209,1301283948.841788,218203912.74898347,359000000.0,359695000.0,535000000.0,539717000.0,7.142859999,,,,,,,
1973,Kenya,,44.3827529254665,252600.0,5721.0,16.345714285714287,,,31.877496299669815,2.723489550878284,4268726594.0437183,799806842.5208286,,,,,,14324722460.77336,2509001444.160196,18.64397130820904,7.885415579534055,2856563338.854263,467777509.37177736,,,,,,10.777638620061483,13.820000183256624,1481121392.956412,270411108.62370956,477000000.0,472386000.0,619000000.0,616406000.0,7.00119166566667,,,,,,,
1974,Kenya,,44.39153811013107,252650.0,6195.0,17.7,,,31.299142075987557,-2.441300540339711,4164514148.6377044,929571628.3014888,,,,,,14907110862.325687,2969958812.4322696,18.322805694352787,0.7975262675672212,2879345181.831321,544179782.4042722,,,,,,11.258602809465447,5.238534559565039,1558710448.995545,334375866.2964661,603000000.0,600470000.0,1026000000.0,1026319999.9999999,7.142859999,,,,,,,
1975,Kenya,,44.93094844853639,255720.0,6013.0,15.823684210526315,,,30.172975683128605,7.362234330484469,4471115438.986592,983441354.8942074,,,,,,15038621867.701471,3259344935.753567,17.886688393080973,0.46075297682631344,2892611850.469713,582988872.3139057,,,,,,10.61251775716554,0.5990021833507768,1568047158.617145,345898560.074123,606000000.0,599015000.0,945000000.0,938601000.0,7.34319333233333,268139474.325176,283800235.903336,,,,,
1976,Kenya,,44.94149067013389,255780.0,5982.0,15.742105263157894,9.122295678795556,2.32275217187212,33.32691593285635,1.90621480586222,4556344503.471746,1157957822.0486152,,,,,,15362548444.506084,3474542392.045965,16.35731631810677,-0.3796453767205463,2881630183.3129344,568341889.673672,,,,15.400234172320893,62.59102243548394,9.918822234452394,-1.0892116071668454,1550967806.9596372,344633683.3277293,790000000.0,787322000.0,969000000.0,972859000.0,8.36714499916667,298548668.661627,294604671.037194,,,,,
1977,Kenya,,44.94500474399972,255800.0,6186.0,16.278947368421054,5.626561421569513,2.65596223603315,37.006828324103445,9.994634745083857,5011734494.321452,1663227067.22383,,,,,,16814892718.14868,4494378855.322032,15.86698478412818,12.85061666191936,3251937431.7846437,713122409.115021,,,,9.975648933561201,67.49527979662162,9.67471369428464,15.895123435683772,1797496054.323589,434818286.5888738,1186000000.0,1183894000.0,1289000000.0,1289105000.0,8.27656083241667,340237939.044756,320906237.962668,,,,,
1978,Kenya,,44.94500474399972,255800.0,6449.0,16.97105263157895,7.64579782576273,1.7507796153963033,32.06422309279759,3.7793568231717245,5201145823.891841,1700601384.979044,,,,,,17977221092.10158,5303734882.511596,17.43251550204173,10.573454177921434,3595779546.029068,924574405.5810288,,,,13.045339072791428,71.78728453361606,10.699921453069429,12.507918074384932,2022325388.1886854,567495466.5077848,1023000000.0,1019854000.0,1711000000.0,1711785000.0,7.72938333233333,445831168.132753,428365350.460692,,,,,
1979,Kenya,,44.94500474399972,255800.0,6374.0,16.773684210526316,8.83191434259259,1.589147939862422,30.186250107286927,2.706341136516997,5341906572.894062,1881928852.4697928,,,,,,19346227115.039894,6234390975.298708,17.32039953652047,3.533964336898677,3722853112.8192325,1079821425.5905113,,,,13.688605938678409,66.68942846499245,10.728690670328728,7.457660387562015,2173143547.571243,668868522.9186887,1090000000.0,1102491000.0,1636000000.0,1659749000.0,7.47530916566667,460716730.729739,376573053.717832,,,,,
1980,Kenya,,44.94500474399972,255800.0,6546.0,17.226315789473684,8.067057219304703,1.2375145409178183,27.790761350741555,1.073446329531052,5399249072.927772,2019086445.1901097,,,,,,20428063532.065395,7265315331.622727,17.77777897318572,5.331623358430562,3921341618.982362,1291611701.3608634,,,,12.132335949168391,55.88830771979876,10.949730626980871,5.239582433031359,2287007195.13434,795532458.0134306,1245000000.0,1387452000.0,2125000000.0,2588343000.0,7.420187499,585834252.919597,501604575.423681,,,,,
1981,Kenya,,44.94500474399972,255800.0,6399.0,16.839473684210525,6.706015239955286,1.6284033385427161,27.873452012383904,5.9250978005678405,5719159860.994995,1910583386.0998714,,,,,,21198925537.432045,6854491453.914707,17.3890608875129,4.000695754763655,4078222566.6627693,1191931692.4505966,,,,11.326299302140908,53.83057998124339,10.582752837977297,3.584607625045237,2368987429.4364586,725393888.8680699,1139000000.0,1172761000.0,1939000000.0,2045554000.0,9.04749833258333,573086593.597584,503011974.438304,,,,,
1982,Kenya,,44.94500474399972,255800.0,6650.0,17.5,6.734772627458296,1.6156201515336626,28.96660108928678,7.366754629535379,6140476334.825373,1863009936.1707964,,,,,,21518282741.49341,6431579357.30273,17.309581225319512,1.6892455831915072,4147113761.2428393,1113279452.9231987,,,,12.057139331326194,52.328044761999436,10.60018961447903,2.252128565844316,2422340072.056058,681759607.079781,1025000000.0,993267000.0,1644000000.0,1602986000.0,10.9223249994167,565996708.606468,398358408.144087,,,,,
1983,Kenya,,44.94500474399972,255800.0,8568.0,22.54736842105263,6.321373068600998,2.2580754039816404,29.86875598362654,1.8539270447777199,6254316286.274876,1785912198.935962,,,,,,21799967873.611965,5979198463.822744,16.908692057764455,0.47204861767549744,4166690154.426216,1011004255.7703707,,,,11.590262204268988,50.51947972525146,10.258794203452098,4.50444534494639,2531453056.670558,613393665.4195446,869000000.0,968281000.0,1334000000.0,1379110000.0,13.3115166659167,515493476.229476,341508793.783036,,,,,
1984,Kenya,,44.813226974031,255050.0,8800.0,23.624161073825505,5.7940770303261475,2.3777015803422246,29.50989773942041,-3.475331966896505,6036958033.06715,1827086748.0858366,,,,,,22182604610.71772,6191437070.434666,16.429149307617664,2.1297564971031164,4255430508.7042646,1017200440.5889001,,,,9.913092798756256,53.30450380505815,10.330492388164398,4.310290658046355,2640566041.285058,639605935.2792418,1074000000.0,1079035000.0,1469000000.0,1500702000.0,14.4138749994167,545654794.447592,376997857.981972,,,,,
1985,Kenya,,46.30495133007696,263540.0,9000.0,19.676432006996063,6.297668226067434,2.299856929372777,28.60623182252836,4.013397977315776,6279245184.657669,1755002145.2070487,,,,,,23136581235.020756,6135034338.304307,16.740732217324194,5.87370151861731,4505381795.117731,1027049670.0164113,,,,11.391637346891157,54.9076235622238,10.284530748445615,4.491879960095702,2759177098.126634,630959492.9506034,958000000.0,952757998.0,1436000000.0,1436073118.0,16.4321166665,580205228.182007,359539803.66051,,,,,
1986,Kenya,,46.338335031802366,263730.0,9200.0,20.03048116699325,5.6818246265251675,1.9998265882359791,28.77757742622607,4.9245883553094245,6588472161.822648,2083245295.9477787,,,,,,24797222168.66933,7239126716.932191,16.18045942370267,3.97713136855657,4684566747.764596,1171323961.0636322,,,,10.501477504494657,69.01733062986352,10.356359005007654,5.800917992485964,2919234698.8564143,749709951.6329219,1200000000.0,1193624277.0,1613000000.0,1613177122.0,16.2257416665,648968793.934422,415204441.095556,,,,,
1987,Kenya,,46.44727132164318,264350.0,9400.0,20.193340494092375,7.94047303511751,2.2614457496044653,27.17165386509785,4.1904866082629155,6864561205.452956,2165803764.8281403,,,,,,26269459892.00243,7970820530.766911,15.929756823564038,5.2890681151419585,4932336673.9531555,1269732327.3938851,,,,12.543820295733013,68.58717760841111,9.949540927660081,5.721366674499848,3086254820.067221,793060050.9789864,961000000.0,956321186.9000001,1738000000.0,1739195691.0,16.4544916666667,740588056.25009,504725406.791154,,,,,
1988,Kenya,,46.846118705415186,266620.0,9600.0,19.664072101597707,,,25.540204060079937,4.553927884821121,7177168372.358691,2133981326.5265875,,,,,,27899002778.450928,8355380879.129548,16.753282118920897,5.360113486539774,5196715517.215266,1399800530.7909462,,,,,,10.1556623387939,5.999926741049322,3271427848.313358,848544269.2045461,1067000000.0,1066218481.0000001,1988000000.0,1988741823.0,17.7471,798947433.665219,530002084.847665,,,,,
